5
-2.1882 -9.1395
-6.7337 1.3587
-9.6466 1.2693
-9.1577 -3.1112
-8.1040 -2.9130
-5.7936 -8.7173
-7.2784 -8.0612
-1.2415 -7.7298
3.2549 -5.0026
-10.1042 -4.3787
-0.0679 4.2192
4.4753 -9.6945
-2.4408 -8.5913
-9.0229 3.4588
-5.1588 2.1777
3.5497 -4.7026
-8.3855 -8.8496
-8.6450 -5.3281
3.7023 5.3239
4.7243 4.8376
3.6083 -4.4264
2.1258 -9.1145
-8.7651 -8.7720
-5.8693 -3.1652
-4.5472 3.2873
-10.4613 3.3688
-6.3053 3.9671
-6.1836 6.8806
-9.1521 -4.3865
-8.7483 -7.4716
-4.1540 -3.3370
-7.7060 -7.9479
-9.0579 3.1392
-8.9395 -9.1947
-4.0192 -9.4963
-9.2634 -9.6157
-9.9358 -2.2634
-9.0205 -2.7013
1.2995 -4.2302
4.6779 -6.9122
-2.8248 -8.7208
-3.9077 -9.9147
-8.5213 -4.7198
-4.0426 -0.8680
5.4536 -7.7057
-2.7737 -5.0693
3.4027 -1.9371
-4.6616 -2.8095
-9.7698 -9.3537
-9.4273 -4.3865
-8.6159 -0.4725
-1.4885 -5.3694
-6.5722 -7.8218
-9.5145 3.1946
-4.3262 3.9403
-8.3317 2.4873
-8.4239 -2.9579
-4.2488 2.0457
-8.7485 -9.2774
-8.8663 -8.9838
-2.4539 6.3186
1.3608 -8.2273
-2.0092 -1.5081
-8.7269 -9.6236
-7.4224 -8.2999
-2.6985 2.7829
2.8198 0.1781
-10.7242 -7.3545
-9.8136 -9.5199
-9.5078 -2.5643
-9.8513 -8.8143
-5.8808 -8.3255
-8.4481 1.5985
-9.0532 -8.3746
-8.6155 -7.5807
-8.4940 -9.6478
0.6662 -4.4048
-1.0221 -5.9810
-9.2488 -4.9687
-8.7322 -1.7688
-4.0137 -7.7732
-8.2007 2.2479
-4.7546 3.4125
-6.9752 -6.6510
3.6121 -6.4869
-7.6862 -8.0623
-8.5374 -9.0510
-10.1644 -9.4756
3.5877 4.3185
3.4317 -7.9529
4.3633 -7.5056
-5.0589 4.1014
3.3966 3.6117
-8.8874 -7.2400
-8.2805 -0.1504
-8.4808 -8.2134
-5.7129 -6.5699
-8.4621 -9.9487
3.6235 -2.0947
-6.4951 4.6745
4.6045 -5.3524
-8.2946 -10.1085
-9.3680 -8.3783
-8.8346 -9.0294
-8.4042 -4.7413
6.7087 -9.2207
-3.6078 -10.3077
6.6786 4.0895
7.4199 -3.0729
6.1691 2.2052
4.2059 -8.3095
-8.5530 -7.5719
-9.6495 -7.9675
-7.0954 -9.9549
-8.5642 -5.0766
0.4852 3.6858
3.2678 -8.7091
-7.4419 -9.8281
-8.7085 2.3042
-2.3734 -4.3439
-6.1351 4.3210
-4.5429 2.7066
3.1257 -0.2873
-3.8027 3.6338
-8.7705 -2.1540
-2.7399 4.3663
-8.0038 2.8090
1.6226 -2.6685
-3.7651 1.7872
